Door	Country	ChallengeLevel	Color	InstructionAudio	AudioDuration	SyllOrTile	StagesIncluded
36	Thailand	174	0	X	naWhileMPOnly	S	-
37	Thailand	184	0	X	naWhileMPOnly	S	-
38	Thailand	145	1	X	naWhileMPOnly	T	-
39	Thailand	245	1	X	naWhileMPOnly	T	-
40	Thailand	345	1	X	naWhileMPOnly	T	-
41	Thailand	151	2	X	naWhileMPOnly	T	-
42	Thailand	251	2	X	naWhileMPOnly	T	-
43	Thailand	152	2	X	naWhileMPOnly	T	-
44	Thailand	252	2	X	naWhileMPOnly	T	-
45	Thailand	161	3	X	naWhileMPOnly	T	-
46	Thailand	261	3	X	naWhileMPOnly	T	-
47	Thailand	162	3	X	naWhileMPOnly	T	-
48	Thailand	262	3	X	naWhileMPOnly	T	-
49	Thailand	141	4	X	naWhileMPOnly	T	-
50	Thailand	241	4	X	naWhileMPOnly	T	-
51	Thailand	142	4	X	naWhileMPOnly	T	-
52	Thailand	242	4	X	naWhileMPOnly	T	-
53	Thailand	114	7	X	naWhileMPOnly	T	-
54	Thailand	214	7	X	naWhileMPOnly	T	-
55	Thailand	124	7	X	naWhileMPOnly	T	-
56	Thailand	224	7	X	naWhileMPOnly	T	-
57	Thailand	134	8	X	naWhileMPOnly	T	-
58	Thailand	234	8	X	naWhileMPOnly	T	-
59	Thailand	154	9	X	naWhileMPOnly	T	-
60	Thailand	254	9	X	naWhileMPOnly	T	-
61	Thailand	354	9	X	naWhileMPOnly	T	-
62	Thailand	144	10	X	naWhileMPOnly	T	-
63	Thailand	244	10	X	naWhileMPOnly	T	-
64	Thailand	344	10	X	naWhileMPOnly	T	-
65	Thailand	164	12	X	naWhileMPOnly	T	-
66	Thailand	264	12	X	naWhileMPOnly	T	-
67	Thailand	364	12	X	naWhileMPOnly	T	-
68	Georgia	1	11	X	naWhileMPOnly	S	-
69	Georgia	1	4	X	naWhileMPOnly	T	-
70	Brazil	1	9	X	naWhileMPOnly	S	-
71	Brazil	1	2	X	naWhileMPOnly	T	-
72	Brazil	4	2	X	naWhileMPOnly	T	-
73	Georgia	2	11	X	naWhileMPOnly	S	-
74	Georgia	2	4	X	naWhileMPOnly	T	-
75	Brazil	2	9	X	naWhileMPOnly	S	-
76	Brazil	2	2	X	naWhileMPOnly	T	-
77	Brazil	5	2	X	naWhileMPOnly	T	-
78	Peru	1	3	X	naWhileMPOnly	T	-
79	Ecuador	1	0	X	naWhileMPOnly	T	-
80	Italy	1	1	X	naWhileMPOnly	T	-
81	Brazil	3	2	X	naWhileMPOnly	T	-
82	Brazil	6	2	X	naWhileMPOnly	T	-
83	Mexico	1	0	X	naWhileMPOnly	T	-
84	Georgia	3	4	X	naWhileMPOnly	T	-
85	Peru	2	3	X	naWhileMPOnly	T	-
86	Georgia	3	11	X	naWhileMPOnly	S	-
87	Georgia	4	4	X	naWhileMPOnly	T	-
88	Mexico	2	0	X	naWhileMPOnly	T	-
89	Georgia	4	11	X	naWhileMPOnly	S	-
90	Georgia	5	4	X	naWhileMPOnly	T	-
91	Peru	3	3	X	naWhileMPOnly	T	-
92	Colombia	1	7	X	naWhileMPOnly	S	-
93	Mexico	3	0	X	naWhileMPOnly	T	-
94	Georgia	5	11	X	naWhileMPOnly	S	-
95	Georgia	6	11	X	naWhileMPOnly	S	-
96	Georgia	6	4	X	naWhileMPOnly	T	-
97	Colombia	2	7	X	naWhileMPOnly	S	-
98	Mexico	4	0	X	naWhileMPOnly	T	-
99	UnitedStates	1	10	X	naWhileMPOnly	T	-
100	Colombia	1	1	X	naWhileMPOnly	T	-
101	Myanmar	1	8	X	naWhileMPOnly	T	-
102	UnitedStates	1	10	X	naWhileMPOnly	S	-
103	Colombia	3	7	X	naWhileMPOnly	S	-
104	Japan	1	12	X	naWhileMPOnly	S	-
105	Colombia	2	1	X	naWhileMPOnly	T	-
106	UnitedStates	2	10	X	naWhileMPOnly	T	-
107	Mexico	5	0	X	naWhileMPOnly	T	-
108	Myanmar	2	8	X	naWhileMPOnly	T	-
109	UnitedStates	3	10	X	naWhileMPOnly	T	-
110	Japan	2	12	X	naWhileMPOnly	S	-
111	Myanmar	3	8	X	naWhileMPOnly	T	-
112	China	1	9	X	naWhileMPOnly	T	-
113	Chile	1	6	X	naWhileMPOnly	T	-
114	Colombia	3	1	X	naWhileMPOnly	T	-
